N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;968;0,5076;925;939;0,9851;0,4851
2;1907;532;0,2790;1343;1375;0,9767;0,7042
3;1907;489;0,2564;1387;1418;0,9781;0,7273
4;1907;444;0,2328;1433;1463;0,9795;0,7514
5;1907;354;0,1856;1521;1553;0,9794;0,7976
10;1907;212;0,1112;1667;1695;0,9835;0,8741
15;1907;155;0,0813;1723;1752;0,9834;0,9035
20;1907;121;0,0635;1764;1786;0,9877;0,9250
25;1907;91;0,0477;1799;1816;0,9906;0,9434
30;1907;77;0,0404;1811;1830;0,9896;0,9497
35;1907;70;0,0367;1818;1837;0,9897;0,9533
40;1907;24;0,0126;1825;1883;0,9692;0,9570
45;1907;8;0,0042;1827;1899;0,9621;0,9580
50;1907;6;0,0031;1834;1901;0,9648;0,9617
60;1907;0;0,0000;1859;1907;0,9748;0,9748
70;1907;0;0,0000;1843;1907;0,9664;0,9664
80;1907;0;0,0000;1847;1907;0,9685;0,9685
90;1907;0;0,0000;1858;1907;0,9743;0,9743
100;1907;0;0,0000;1857;1907;0,9738;0,9738
200;1907;0;0,0000;1849;1907;0,9696;0,9696
