N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;6333;5234;0,8265;922;1099;0,8389;0,1456
2;6333;4906;0,7747;1147;1427;0,8038;0,1811
3;6333;4842;0,7646;1199;1491;0,8042;0,1893
4;6333;4663;0,7363;1353;1670;0,8102;0,2136
5;6333;4607;0,7275;1401;1726;0,8117;0,2212
10;6333;4421;0,6981;1565;1912;0,8185;0,2471
15;6333;4176;0,6594;1772;2157;0,8215;0,2798
20;6333;3943;0,6226;1974;2390;0,8259;0,3117
25;6333;3864;0,6101;2043;2469;0,8275;0,3226
30;6333;3808;0,6013;2091;2525;0,8281;0,3302
35;6333;3738;0,5902;2146;2595;0,8270;0,3389
40;6333;3680;0,5811;2197;2653;0,8281;0,3469
45;6333;3637;0,5743;2226;2696;0,8257;0,3515
50;6333;3595;0,5677;2256;2738;0,8240;0,3562
60;6333;3506;0,5536;2330;2827;0,8242;0,3679
70;6333;3449;0,5446;2380;2884;0,8252;0,3758
80;6333;3381;0,5339;2441;2952;0,8269;0,3854
90;6333;3307;0,5222;2506;3026;0,8282;0,3957
100;6333;3257;0,5143;2545;3076;0,8274;0,4019
200;6333;2973;0,4694;2778;3360;0,8268;0,4387
