N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;1781;0,9339;125;126;0,9921;0,0655
2;1907;1777;0,9318;129;130;0,9923;0,0676
3;1907;1660;0,8705;235;247;0,9514;0,1232
4;1907;1596;0,8369;299;311;0,9614;0,1568
5;1907;1573;0,8249;322;334;0,9641;0,1689
10;1907;1483;0,7777;412;424;0,9717;0,2160
15;1907;1426;0,7478;465;481;0,9667;0,2438
20;1907;1076;0,5642;812;831;0,9771;0,4258
25;1907;1039;0,5448;848;868;0,9770;0,4447
30;1907;947;0,4966;940;960;0,9792;0,4929
35;1907;930;0,4877;957;977;0,9795;0,5018
40;1907;862;0,4520;1024;1045;0,9799;0,5370
45;1907;739;0,3875;1148;1168;0,9829;0,6020
50;1907;738;0,3870;1149;1169;0,9829;0,6025
60;1907;475;0,2491;1382;1432;0,9651;0,7247
70;1907;343;0,1799;1509;1564;0,9648;0,7913
80;1907;289;0,1515;1564;1618;0,9666;0,8201
90;1907;199;0,1044;1644;1708;0,9625;0,8621
100;1907;119;0,0624;1748;1788;0,9776;0,9166
200;1907;12;0,0063;1831;1895;0,9662;0,9601
