N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;1957;0,7075;793;809;0,9802;0,2867
2;2766;1357;0,4906;1391;1409;0,9872;0,5029
3;2766;1143;0,4132;1604;1623;0,9883;0,5799
4;2766;1017;0,3677;1729;1749;0,9886;0,6251
5;2766;889;0,3214;1856;1877;0,9888;0,6710
10;2766;468;0,1692;2238;2298;0,9739;0,8091
15;2766;340;0,1229;2377;2426;0,9798;0,8594
20;2766;277;0,1001;2440;2489;0,9803;0,8821
25;2766;233;0,0842;2482;2533;0,9799;0,8973
30;2766;215;0,0777;2502;2551;0,9808;0,9046
35;2766;195;0,0705;2518;2571;0,9794;0,9103
40;2766;185;0,0669;2527;2581;0,9791;0,9136
45;2766;163;0,0589;2547;2603;0,9785;0,9208
50;2766;118;0,0427;2577;2648;0,9732;0,9317
60;2766;36;0,0130;2537;2730;0,9293;0,9172
70;2766;34;0,0123;2550;2732;0,9334;0,9219
80;2766;28;0,0101;2573;2738;0,9397;0,9302
90;2766;22;0,0080;2594;2744;0,9453;0,9378
100;2766;19;0,0069;2611;2747;0,9505;0,9440
200;2766;0;0,0000;2589;2766;0,9360;0,9360
