N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2723;0,9845;43;43;1,0000;0,0155
2;2766;2694;0,9740;72;72;1,0000;0,0260
3;2766;2664;0,9631;102;102;1,0000;0,0369
4;2766;2632;0,9516;134;134;1,0000;0,0484
5;2766;2604;0,9414;162;162;1,0000;0,0586
10;2766;2530;0,9147;236;236;1,0000;0,0853
15;2766;2426;0,8771;340;340;1,0000;0,1229
20;2766;2351;0,8500;415;415;1,0000;0,1500
25;2766;2299;0,8312;467;467;1,0000;0,1688
30;2766;2246;0,8120;520;520;1,0000;0,1880
35;2766;2216;0,8012;550;550;1,0000;0,1988
40;2766;2179;0,7878;587;587;1,0000;0,2122
45;2766;2138;0,7730;628;628;1,0000;0,2270
50;2766;2113;0,7639;653;653;1,0000;0,2361
60;2766;2033;0,7350;733;733;1,0000;0,2650
70;2766;1985;0,7176;781;781;1,0000;0,2824
80;2766;1941;0,7017;825;825;1,0000;0,2983
90;2766;1895;0,6851;871;871;1,0000;0,3149
100;2766;1858;0,6717;907;908;0,9989;0,3279
200;2766;1519;0,5492;1245;1247;0,9984;0,4501
