N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2600;0,9400;165;166;0,9940;0,0597
2;2766;2559;0,9252;206;207;0,9952;0,0745
3;2766;2237;0,8087;500;529;0,9452;0,1808
4;2766;1928;0,6970;806;838;0,9618;0,2914
5;2766;1818;0,6573;919;948;0,9694;0,3322
10;2766;1421;0,5137;1296;1345;0,9636;0,4685
15;2766;1170;0,4230;1528;1596;0,9574;0,5524
20;2766;893;0,3228;1810;1873;0,9664;0,6544
25;2766;701;0,2534;1996;2065;0,9666;0,7216
30;2766;564;0,2039;2134;2202;0,9691;0,7715
35;2766;419;0,1515;2282;2347;0,9723;0,8250
40;2766;347;0,1255;2351;2419;0,9719;0,8500
45;2766;324;0,1171;2377;2442;0,9734;0,8594
50;2766;263;0,0951;2433;2503;0,9720;0,8796
60;2766;242;0,0875;2460;2524;0,9746;0,8894
70;2766;60;0,0217;2438;2706;0,9010;0,8814
80;2766;48;0,0174;2456;2718;0,9036;0,8879
90;2766;41;0,0148;2490;2725;0,9138;0,9002
100;2766;32;0,0116;2538;2734;0,9283;0,9176
200;2766;1;0,0004;2538;2765;0,9179;0,9176
