N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2263;2127;0,9399;136;136;1,0000;0,0601
2;2263;2051;0,9063;212;212;1,0000;0,0937
3;2263;2008;0,8873;255;255;1,0000;0,1127
4;2263;1970;0,8705;293;293;1,0000;0,1295
5;2263;1937;0,8559;326;326;1,0000;0,1441
10;2263;1810;0,7998;453;453;1,0000;0,2002
15;2263;1698;0,7503;565;565;1,0000;0,2497
20;2263;1630;0,7203;633;633;1,0000;0,2797
25;2263;1583;0,6995;680;680;1,0000;0,3005
30;2263;1529;0,6757;734;734;1,0000;0,3243
35;2263;1491;0,6589;772;772;1,0000;0,3411
40;2263;1466;0,6478;797;797;1,0000;0,3522
45;2263;1438;0,6354;825;825;1,0000;0,3646
50;2263;1412;0,6240;851;851;1,0000;0,3760
60;2263;1375;0,6076;888;888;1,0000;0,3924
70;2263;1340;0,5921;923;923;1,0000;0,4079
80;2263;1313;0,5802;950;950;1,0000;0,4198
90;2263;1287;0,5687;976;976;1,0000;0,4313
100;2263;1266;0,5594;997;997;1,0000;0,4406
200;2263;1170;0,5170;1093;1093;1,0000;0,4830
