N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2318;0,8380;448;448;1,0000;0,1620
2;2766;2043;0,7386;723;723;1,0000;0,2614
3;2766;1825;0,6598;941;941;1,0000;0,3402
4;2766;1683;0,6085;1083;1083;1,0000;0,3915
5;2766;1593;0,5759;1173;1173;1,0000;0,4241
10;2766;1382;0,4996;1384;1384;1,0000;0,5004
15;2766;1143;0,4132;1623;1623;1,0000;0,5868
20;2766;1035;0,3742;1731;1731;1,0000;0,6258
25;2766;943;0,3409;1823;1823;1,0000;0,6591
30;2766;868;0,3138;1898;1898;1,0000;0,6862
35;2766;818;0,2957;1948;1948;1,0000;0,7043
40;2766;751;0,2715;2015;2015;1,0000;0,7285
45;2766;693;0,2505;2073;2073;1,0000;0,7495
50;2766;672;0,2430;2094;2094;1,0000;0,7570
60;2766;611;0,2209;2155;2155;1,0000;0,7791
70;2766;560;0,2025;2206;2206;1,0000;0,7975
80;2766;511;0,1847;2255;2255;1,0000;0,8153
90;2766;463;0,1674;2303;2303;1,0000;0,8326
100;2766;424;0,1533;2342;2342;1,0000;0,8467
200;2766;269;0,0973;2497;2497;1,0000;0,9027
