N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2728;0,9863;38;38;1,0000;0,0137
2;2766;2687;0,9714;79;79;1,0000;0,0286
3;2766;2660;0,9617;106;106;1,0000;0,0383
4;2766;2645;0,9563;121;121;1,0000;0,0437
5;2766;2621;0,9476;145;145;1,0000;0,0524
10;2766;2534;0,9161;232;232;1,0000;0,0839
15;2766;2485;0,8984;281;281;1,0000;0,1016
20;2766;2416;0,8735;350;350;1,0000;0,1265
25;2766;2371;0,8572;395;395;1,0000;0,1428
30;2766;2338;0,8453;428;428;1,0000;0,1547
35;2766;2299;0,8312;467;467;1,0000;0,1688
40;2766;2257;0,8160;509;509;1,0000;0,1840
45;2766;2230;0,8062;536;536;1,0000;0,1938
50;2766;2209;0,7986;556;557;0,9982;0,2010
60;2766;2162;0,7816;603;604;0,9983;0,2180
70;2766;2128;0,7693;635;638;0,9953;0,2296
80;2766;2090;0,7556;673;676;0,9956;0,2433
90;2766;2053;0,7422;710;713;0,9958;0,2567
100;2766;2006;0,7252;757;760;0,9961;0,2737
200;2766;1701;0,6150;1062;1065;0,9972;0,3839
