sigma;0;12;2;1,079181246;1,079181246;bop
tenneco;0;12;24;1,079181246;1,079181246;veg-oil
acceptances;0;12;22;1,079181246;1,079181246;sugar
waiver;0;12;5;1,079181246;1,079181246;corn
mint;0;12;2;1,079181246;1,079181246;bop
erbynn;0;12;7;1,079181246;1,079181246;crude
onic;0;12;9;1,079181246;1,079181246;earn
raid;0;12;23;1,079181246;1,079181246;trade
dreyfu;0;12;13;1,079181246;1,079181246;interest
troi;0;12;2;1,079181246;1,079181246;bop
martel;0;12;19;1,079181246;1,079181246;reserves
meyer;0;12;22;1,079181246;1,079181246;sugar
baron;0;11;7;1,041392685;1,041392685;crude
zack;0;11;25;1,041392685;1,041392685;wheat
placer;0;11;2;1,041392685;1,041392685;bop
soyabean;0;11;1;1,041392685;1,041392685;acq
cherri;0;11;6;1,041392685;1,041392685;cpi
countertrade;0;11;6;1,041392685;1,041392685;cpi
tmoc;0;11;24;1,041392685;1,041392685;veg-oil
hormuz;0;11;23;1,041392685;1,041392685;trade
moistur;0;11;19;1,041392685;1,041392685;reserves
baht;0;11;3;1,041392685;1,041392685;cocoa
andriessen;0;11;5;1,041392685;1,041392685;corn
somc;0;10;12;1;1;grain
microchip;0;10;4;1;1;coffee
sheikh;0;10;23;1;1;trade
teck;0;10;10;1;1;gnp
vorm;0;10;25;1;1;wheat
caracas;0;10;24;1;1;veg-oil
idaho;0;10;2;1;1;bop
deng;0;10;19;1;1;reserves
ina;0;10;24;1;1;veg-oil
immigr;0;10;5;1;1;corn
memphi;0;10;2;1;1;bop
phil;0;10;2;1;1;bop
duluth;0;10;2;1;1;bop
permian;0;10;24;1;1;veg-oil
roast;0;10;6;1;1;cpi
chevron;0;10;24;1;1;veg-oil
ugandan;0;10;6;1;1;cpi
meatpack;0;10;25;1;1;wheat
fritz;0;10;9;1;1;earn
stockton;0;10;2;1;1;bop
arkla;0;10;24;1;1;veg-oil
melnikov;0;10;9;1;1;earn
tvx;0;10;2;1;1;bop
gram;0;10;2;1;1;bop
levon;0;10;2;1;1;bop
satur;0;10;1;1;1;acq
sww;0;10;2;1;1;bop
clercq;0;10;5;1;1;corn
lusinchi;0;10;24;1;1;veg-oil
seafar;0;10;25;1;1;wheat
rains;0;10;19;1;1;reserves
geodom;0;10;2;1;1;bop
striker;0;10;25;1;1;wheat
lac;0;10;2;1;1;bop
