N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;1889;0,9906;18;18;1,0000;0,0094
2;1907;1852;0,9712;55;55;1,0000;0,0288
3;1907;1835;0,9622;72;72;1,0000;0,0378
4;1907;1825;0,9570;82;82;1,0000;0,0430
5;1907;1810;0,9491;97;97;1,0000;0,0509
10;1907;1775;0,9308;132;132;1,0000;0,0692
15;1907;1738;0,9114;169;169;1,0000;0,0886
20;1907;1683;0,8825;224;224;1,0000;0,1175
25;1907;1658;0,8694;249;249;1,0000;0,1306
30;1907;1633;0,8563;274;274;1,0000;0,1437
35;1907;1611;0,8448;296;296;1,0000;0,1552
40;1907;1594;0,8359;313;313;1,0000;0,1641
45;1907;1564;0,8201;343;343;1,0000;0,1799
50;1907;1544;0,8096;363;363;1,0000;0,1904
60;1907;1517;0,7955;390;390;1,0000;0,2045
70;1907;1474;0,7729;433;433;1,0000;0,2271
80;1907;1435;0,7525;472;472;1,0000;0,2475
90;1907;1402;0,7352;505;505;1,0000;0,2648
100;1907;1374;0,7205;533;533;1,0000;0,2795
200;1907;1208;0,6335;699;699;1,0000;0,3665
