N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;6333;3123;0,4931;3032;3210;0,9445;0,4788
2;6333;2478;0,3913;3604;3855;0,9349;0,5691
3;6333;2003;0,3163;4045;4330;0,9342;0,6387
4;6333;1897;0,2995;4077;4436;0,9191;0,6438
5;6333;801;0,1265;4663;5532;0,8429;0,7363
10;6333;151;0,0238;5488;6182;0,8877;0,8666
15;6333;38;0,0060;5809;6295;0,9228;0,9173
20;6333;18;0,0028;5807;6315;0,9196;0,9169
25;6333;7;0,0011;5857;6326;0,9259;0,9248
30;6333;3;0,0005;5896;6330;0,9314;0,9310
35;6333;3;0,0005;5935;6330;0,9376;0,9372
40;6333;3;0,0005;5907;6330;0,9332;0,9327
45;6333;3;0,0005;5887;6330;0,9300;0,9296
50;6333;1;0,0002;5927;6332;0,9360;0,9359
60;6333;1;0,0002;5980;6332;0,9444;0,9443
70;6333;1;0,0002;5978;6332;0,9441;0,9439
80;6333;1;0,0002;6017;6332;0,9503;0,9501
90;6333;1;0,0002;6035;6332;0,9531;0,9529
100;6333;1;0,0002;6041;6332;0,9540;0,9539
200;6333;0;0,0000;6066;6333;0,9578;0,9578
