N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2355;0,8514;409;411;0,9951;0,1479
2;2766;2202;0,7961;561;564;0,9947;0,2028
3;2766;2039;0,7372;724;727;0,9959;0,2617
4;2766;1935;0,6996;815;831;0,9807;0,2946
5;2766;1880;0,6797;870;886;0,9819;0,3145
10;2766;1699;0,6142;1037;1067;0,9719;0,3749
15;2766;1557;0,5629;1178;1209;0,9744;0,4259
20;2766;1432;0,5177;1298;1334;0,9730;0,4693
25;2766;1346;0,4866;1387;1420;0,9768;0,5014
30;2766;1283;0,4638;1447;1483;0,9757;0,5231
35;2766;1245;0,4501;1489;1521;0,9790;0,5383
40;2766;1210;0,4375;1518;1556;0,9756;0,5488
45;2766;1176;0,4252;1550;1590;0,9748;0,5604
50;2766;1133;0,4096;1591;1633;0,9743;0,5752
60;2766;1063;0,3843;1663;1703;0,9765;0,6012
70;2766;1011;0,3655;1709;1755;0,9738;0,6179
80;2766;972;0,3514;1751;1794;0,9760;0,6330
90;2766;953;0,3445;1772;1813;0,9774;0,6406
100;2766;923;0,3337;1802;1843;0,9778;0,6515
200;2766;736;0,2661;1999;2030;0,9847;0,7227
