feket;cocoa
liro;money-fx
eurosterl;gold
qtly;soybean
blanca;oilseed
shultz;earn
eiu;grain
enrol;sugar
mcivor;veg-oil
missil;trade
dauster;cpi
ined;livestock
balletto;acq
lockout;wheat
guesstim;money-supply
usair;gnp
unc;interest
assai;bop
discontinu;dlr
czarnikow;nat-gas
bennett;corn
cordoba;reserves
bolivia;coffee
pacts;crude
blah;ship
