N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;1778;0,9324;129;129;1,0000;0,0676
2;1907;1660;0,8705;247;247;1,0000;0,1295
3;1907;1609;0,8437;298;298;1,0000;0,1563
4;1907;1578;0,8275;329;329;1,0000;0,1725
5;1907;1523;0,7986;384;384;1,0000;0,2014
10;1907;1366;0,7163;541;541;1,0000;0,2837
15;1907;1273;0,6675;634;634;1,0000;0,3325
20;1907;1226;0,6429;681;681;1,0000;0,3571
25;1907;1137;0,5962;770;770;1,0000;0,4038
30;1907;1108;0,5810;799;799;1,0000;0,4190
35;1907;1044;0,5475;863;863;1,0000;0,4525
40;1907;1001;0,5249;906;906;1,0000;0,4751
45;1907;952;0,4992;955;955;1,0000;0,5008
50;1907;935;0,4903;972;972;1,0000;0,5097
60;1907;884;0,4636;1023;1023;1,0000;0,5364
70;1907;839;0,4400;1068;1068;1,0000;0,5600
80;1907;805;0,4221;1102;1102;1,0000;0,5779
90;1907;772;0,4048;1135;1135;1,0000;0,5952
100;1907;758;0,3975;1149;1149;1,0000;0,6025
200;1907;542;0,2842;1364;1365;0,9993;0,7153
