N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;1141;0,5983;758;766;0,9896;0,3975
2;1907;838;0,4394;1034;1069;0,9673;0,5422
3;1907;736;0,3859;1142;1171;0,9752;0,5988
4;1907;719;0,3770;1158;1188;0,9747;0,6072
5;1907;624;0,3272;1250;1283;0,9743;0,6555
10;1907;269;0,1411;1610;1638;0,9829;0,8443
15;1907;234;0,1227;1646;1673;0,9839;0,8631
20;1907;208;0,1091;1675;1699;0,9859;0,8783
25;1907;171;0,0897;1713;1736;0,9868;0,8983
30;1907;75;0,0393;1753;1832;0,9569;0,9192
35;1907;65;0,0341;1766;1842;0,9587;0,9261
40;1907;56;0,0294;1788;1851;0,9660;0,9376
45;1907;47;0,0246;1793;1860;0,9640;0,9402
50;1907;47;0,0246;1793;1860;0,9640;0,9402
60;1907;22;0,0115;1745;1885;0,9257;0,9150
70;1907;19;0,0100;1742;1888;0,9227;0,9135
80;1907;4;0,0021;1726;1903;0,9070;0,9051
90;1907;2;0,0010;1724;1905;0,9050;0,9040
100;1907;2;0,0010;1747;1905;0,9171;0,9161
200;1907;0;0,0000;1812;1907;0,9502;0,9502
