N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;6333;4596;0,7257;1486;1737;0,8555;0,2346
2;6333;4119;0,6504;1962;2214;0,8862;0,3098
3;6333;2735;0,4319;3351;3598;0,9314;0,5291
4;6333;2704;0,4270;3388;3629;0,9336;0,5350
5;6333;2668;0,4213;3414;3665;0,9315;0,5391
10;6333;1804;0,2849;4157;4529;0,9179;0,6564
15;6333;707;0,1116;4602;5626;0,8180;0,7267
20;6333;655;0,1034;4646;5678;0,8182;0,7336
25;6333;460;0,0726;4686;5873;0,7979;0,7399
30;6333;360;0,0568;4739;5973;0,7934;0,7483
35;6333;342;0,0540;4753;5991;0,7934;0,7505
40;6333;317;0,0501;4786;6016;0,7955;0,7557
45;6333;244;0,0385;4944;6089;0,8120;0,7807
50;6333;204;0,0322;4886;6129;0,7972;0,7715
60;6333;25;0,0039;5290;6308;0,8386;0,8353
70;6333;21;0,0033;5307;6312;0,8408;0,8380
80;6333;7;0,0011;5473;6326;0,8652;0,8642
90;6333;7;0,0011;5624;6326;0,8890;0,8880
100;6333;3;0,0005;5823;6330;0,9199;0,9195
200;6333;0;0,0000;6042;6333;0,9541;0,9541
