2263;520;0.22978347326557666;853;1743;0.48938611589214;0.37693327441449404
2263;304;0.13433495360141406;1010;1959;0.5155691679428279;0.44631020768890856
2263;221;0.09765797613787008;1065;2042;0.5215475024485798;0.4706142288996907
2263;141;0.062306672558550595;1116;2122;0.525918944392083;0.4931506849315068
2263;99;0.043747238179407864;1194;2164;0.5517560073937153;0.5276182059213433
2263;17;0.007512152010605391;1216;2246;0.5414069456812111;0.5373398144056563
2263;5;0.002209456473707468;1220;2258;0.5403011514614703;0.5391073795846222
2263;1;4.418912947414936E-4;1248;2262;0.5517241379310345;0.551480335837384
2263;0;0.0;1245;2263;0.5501546619531595;0.5501546619531595
2263;0;0.0;1250;2263;0.552364118426867;0.552364118426867
2263;0;0.0;1289;2263;0.5695978789217853;0.5695978789217853
2263;0;0.0;1305;2263;0.5766681396376492;0.5766681396376492
2263;0;0.0;1300;2263;0.5744586831639417;0.5744586831639417
2263;0;0.0;1305;2263;0.5766681396376492;0.5766681396376492
2263;0;0.0;1321;2263;0.583738400353513;0.583738400353513
2263;0;0.0;1328;2263;0.5868316394167035;0.5868316394167035
2263;0;0.0;1336;2263;0.5903667697746354;0.5903667697746354
2263;0;0.0;1345;2263;0.5943437914273089;0.5943437914273089
2263;0;0.0;1341;2263;0.5925762262483429;0.5925762262483429
2263;0;0.0;1379;2263;0.6093680954485197;0.6093680954485197
