N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;6333;5892;0,9304;236;441;0,5351;0,0373
2;6333;5774;0,9117;335;559;0,5993;0,0529
3;6333;5644;0,8912;435;689;0,6313;0,0687
4;6333;5540;0,8748;505;793;0,6368;0,0797
5;6333;5510;0,8700;527;823;0,6403;0,0832
10;6333;5265;0,8314;687;1068;0,6433;0,1085
15;6333;5071;0,8007;865;1262;0,6854;0,1366
20;6333;4929;0,7783;983;1404;0,7001;0,1552
25;6333;4825;0,7619;1069;1508;0,7089;0,1688
30;6333;4713;0,7442;1155;1620;0,7130;0,1824
35;6333;4648;0,7339;1212;1685;0,7193;0,1914
40;6333;4611;0,7281;1235;1722;0,7172;0,1950
45;6333;4524;0,7144;1312;1809;0,7253;0,2072
50;6333;4477;0,7069;1353;1856;0,7290;0,2136
60;6333;4415;0,6971;1404;1918;0,7320;0,2217
70;6333;4351;0,6870;1453;1982;0,7331;0,2294
80;6333;4304;0,6796;1495;2029;0,7368;0,2361
90;6333;4260;0,6727;1540;2073;0,7429;0,2432
100;6333;4225;0,6671;1559;2108;0,7396;0,2462
200;6333;3925;0,6198;1848;2408;0,7674;0,2918
