N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;1408;0,7383;495;499;0,9920;0,2596
2;1907;1313;0,6885;590;594;0,9933;0,3094
3;1907;1264;0,6628;637;643;0,9907;0,3340
4;1907;1252;0,6565;649;655;0,9908;0,3403
5;1907;1199;0,6287;702;708;0,9915;0,3681
10;1907;1146;0,6009;744;761;0,9777;0,3901
15;1907;1057;0,5543;831;850;0,9776;0,4358
20;1907;699;0,3665;1185;1208;0,9810;0,6214
25;1907;484;0,2538;1378;1423;0,9684;0,7226
30;1907;399;0,2092;1458;1508;0,9668;0,7646
35;1907;366;0,1919;1493;1541;0,9689;0,7829
40;1907;308;0,1615;1545;1599;0,9662;0,8102
45;1907;299;0,1568;1552;1608;0,9652;0,8138
50;1907;247;0,1295;1591;1660;0,9584;0,8343
60;1907;149;0,0781;1705;1758;0,9699;0,8941
70;1907;136;0,0713;1715;1771;0,9684;0,8993
80;1907;94;0,0493;1762;1813;0,9719;0,9240
90;1907;86;0,0451;1765;1821;0,9692;0,9255
100;1907;81;0,0425;1771;1826;0,9699;0,9287
200;1907;0;0,0000;1835;1907;0,9622;0,9622
