N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2643;0,9555;122;123;0,9919;0,0441
2;2766;2597;0,9389;168;169;0,9941;0,0607
3;2766;2487;0,8991;278;279;0,9964;0,1005
4;2766;2426;0,8771;338;340;0,9941;0,1222
5;2766;2389;0,8637;374;377;0,9920;0,1352
10;2766;2108;0,7621;645;658;0,9802;0,2332
15;2766;2035;0,7357;714;731;0,9767;0,2581
20;2766;1747;0,6316;978;1019;0,9598;0,3536
25;2766;1526;0,5517;1197;1240;0,9653;0,4328
30;2766;1316;0,4758;1407;1450;0,9703;0,5087
35;2766;1059;0,3829;1661;1707;0,9731;0,6005
40;2766;940;0,3398;1763;1826;0,9655;0,6374
45;2766;728;0,2632;1973;2038;0,9681;0,7133
50;2766;509;0,1840;2198;2257;0,9739;0,7946
60;2766;427;0,1544;2287;2339;0,9778;0,8268
70;2766;382;0,1381;2332;2384;0,9782;0,8431
80;2766;332;0,1200;2384;2434;0,9795;0,8619
90;2766;290;0,1048;2425;2476;0,9794;0,8767
100;2766;265;0,0958;2452;2501;0,9804;0,8865
200;2766;24;0,0087;2567;2742;0,9362;0,9281
