N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2514;0,9089;252;252;1,0000;0,0911
2;2766;2386;0,8626;380;380;1,0000;0,1374
3;2766;2307;0,8341;459;459;1,0000;0,1659
4;2766;2230;0,8062;536;536;1,0000;0,1938
5;2766;2218;0,8019;548;548;1,0000;0,1981
10;2766;2050;0,7411;716;716;1,0000;0,2589
15;2766;1933;0,6988;833;833;1,0000;0,3012
20;2766;1849;0,6685;917;917;1,0000;0,3315
25;2766;1785;0,6453;981;981;1,0000;0,3547
30;2766;1749;0,6323;1017;1017;1,0000;0,3677
35;2766;1680;0,6074;1086;1086;1,0000;0,3926
40;2766;1626;0,5879;1140;1140;1,0000;0,4121
45;2766;1572;0,5683;1194;1194;1,0000;0,4317
50;2766;1541;0,5571;1225;1225;1,0000;0,4429
60;2766;1476;0,5336;1290;1290;1,0000;0,4664
70;2766;1418;0,5127;1348;1348;1,0000;0,4873
80;2766;1358;0,4910;1408;1408;1,0000;0,5090
90;2766;1309;0,4732;1455;1457;0,9986;0,5260
100;2766;1286;0,4649;1477;1480;0,9980;0,5340
200;2766;1009;0,3648;1754;1757;0,9983;0,6341
