N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;6333;2733;0,4315;3529;3600;0,9803;0,5572
2;6333;2328;0,3676;3907;4005;0,9755;0,6169
3;6333;2088;0,3297;4132;4245;0,9734;0,6525
4;6333;1294;0,2043;4872;5039;0,9669;0,7693
5;6333;963;0,1521;5178;5370;0,9642;0,8176
10;6333;644;0,1017;5505;5689;0,9677;0,8693
15;6333;157;0,0248;5586;6176;0,9045;0,8820
20;6333;56;0,0088;5900;6277;0,9399;0,9316
25;6333;33;0,0052;5987;6300;0,9503;0,9454
30;6333;19;0,0030;6039;6314;0,9564;0,9536
35;6333;12;0,0019;6064;6321;0,9593;0,9575
40;6333;9;0,0014;6054;6324;0,9573;0,9559
45;6333;9;0,0014;6013;6324;0,9508;0,9495
50;6333;9;0,0014;6005;6324;0,9496;0,9482
60;6333;4;0,0006;6022;6329;0,9515;0,9509
70;6333;3;0,0005;6040;6330;0,9542;0,9537
80;6333;1;0,0002;6057;6332;0,9566;0,9564
90;6333;1;0,0002;6060;6332;0,9570;0,9569
100;6333;1;0,0002;6067;6332;0,9581;0,9580
200;6333;0;0,0000;6073;6333;0,9589;0,9589
